
    Running ga_continuous.py
    ===================================================================
    Optimizing code ensamble through differential evolution algorithm.
    Code rate: 0.88.
    Number of individuals: 100.
    Number of generations: 10000.
    Max variable node degree: 5.
    Max check node degree: 20.
    Parameter settings: F = 0.5, Cr = 0.7
    -------------------------------------------------------------------
    
4453 generations completed.  Average fitness:2.76.  In domain: 0. RBER: max 0.00, min: 0.00.
4454 generations completed.  Average fitness:2.76.  In domain: 0. RBER: max 0.00, min: 0.00.
4455 generations completed.  Average fitness:2.76.  In domain: 0. RBER: max 0.00, min: 0.00.
4456 generations completed.  Average fitness:2.76.  In domain: 0. RBER: max 0.00, min: 0.00.
4457 generations completed.  Average fitness:2.76.  In domain: 0. RBER: max 0.00, min: 0.00.
4458 generations completed.  Average fitness:2.76.  In domain: 0. RBER: max 0.00, min: 0.00.
4459 generations completed.  Average fitness:2.76.  In domain: 0. RBER: max 0.00, min: 0.00.
4460 generations completed.  Average fitness:2.76.  In domain: 0. RBER: max 0.00, min: 0.00.
4461 generations completed.  Average fitness:2.76.  In domain: 1. RBER: max 2.77, min: 2.77.
4462 generations completed.  Average fitness:2.76.  In domain: 1. RBER: max 2.77, min: 2.77.
4463 generations completed.  Average fitness:2.76.  In domain: 1. RBER: max 2.77, min: 2.77.
4464 generations completed.  Average fitness:2.76.  In domain: 1. RBER: max 2.77, min: 2.77.
4465 generations completed.  Average fitness:2.76.  In domain: 1. RBER: max 2.77, min: 2.77.
4466 generations completed.  Average fitness:2.76.  In domain: 1. RBER: max 2.77, min: 2.77.
4467 generations completed.  Average fitness:2.76.  In domain: 1. RBER: max 2.77, min: 2.77.
4468 generations completed.  Average fitness:2.76.  In domain: 1. RBER: max 2.77, min: 2.77.
4469 generations completed.  Average fitness:2.77.  In domain: 2. RBER: max 2.77, min: 2.77.
4470 generations completed.  Average fitness:2.77.  In domain: 2. RBER: max 2.77, min: 2.77.
4471 generations completed.  Average fitness:2.77.  In domain: 2. RBER: max 2.77, min: 2.77.
4472 generations completed.  Average fitness:2.77.  In domain: 2. RBER: max 2.77, min: 2.77.
4473 generations completed.  Average fitness:2.77.  In domain: 2. RBER: max 2.77, min: 2.77.
4474 generations completed.  Average fitness:2.77.  In domain: 2. RBER: max 2.77, min: 2.77.
4475 generations completed.  Average fitness:2.77.  In domain: 2. RBER: max 2.77, min: 2.77.
4476 generations completed.  Average fitness:2.77.  In domain: 3. RBER: max 2.77, min: 2.74.
4477 generations completed.  Average fitness:2.77.  In domain: 3. RBER: max 2.77, min: 2.74.
4478 generations completed.  Average fitness:2.77.  In domain: 3. RBER: max 2.77, min: 2.74.
4479 generations completed.  Average fitness:2.77.  In domain: 3. RBER: max 2.77, min: 2.74.
4480 generations completed.  Average fitness:2.77.  In domain: 3. RBER: max 2.77, min: 2.74.
4481 generations completed.  Average fitness:2.77.  In domain: 4. RBER: max 2.77, min: 2.74.
4482 generations completed.  Average fitness:2.77.  In domain: 4. RBER: max 2.77, min: 2.74.
4483 generations completed.  Average fitness:2.77.  In domain: 4. RBER: max 2.77, min: 2.74.
4484 generations completed.  Average fitness:2.77.  In domain: 4. RBER: max 2.77, min: 2.74.
